0.000360	157	0
0.000420	109	0
0.000480	207	0
0.000480	228	0
0.000960	466	1
0.001020	323	1
0.001680	84	0
0.001800	1006	1
0.001860	76	0
0.001980	154	0
0.002100	509	1
0.002280	223	0
0.002400	188	1
0.002640	520	1
0.002640	130	0
0.002760	637	1
0.002820	340	1
0.003060	1019	1
0.003180	448	1
0.003360	200	1
0.003600	39	0
0.003660	119	0
0.004080	133	0
0.004080	225	0
0.004260	47	1
0.004260	506	1
0.004320	252	0
0.004380	54	0
0.004620	562	1
0.004620	750	1
0.004620	954	1
0.004740	384	1
0.004800	819	1
0.004860	203	0
0.005160	675	1
0.005220	591	1
0.005220	699	1
0.005220	146	0
0.005220	236	0
0.005280	123	0
0.005340	681	1
0.005520	96	1
0.005760	14	1
0.006120	648	1
0.006180	662	1
0.006180	250	0
0.006360	781	1
0.006480	41	0
0.006600	467	1
0.006600	77	0
0.006660	248	0
0.006720	624	1
0.006840	232	0
0.006900	126	0
0.007200	120	0
0.007200	247	0
0.007380	936	1
0.007440	510	1
0.007440	991	1
0.007740	10	1
0.007740	249	0
0.007800	342	1
0.007800	647	1
0.007920	445	1
0.008040	499	1
0.008160	515	1
0.008400	27	0
0.008400	239	0
0.008460	233	1
0.008580	968	1
0.008700	196	1
0.008700	793	1
0.008760	4	0
0.008760	128	0
0.008880	188	0
0.008880	226	0
0.008940	198	1
0.009360	152	0
0.009420	236	1
0.009420	70	0
0.009840	142	1
0.009900	71	1
0.010320	615	1
0.010740	137	0
0.010800	202	0
0.010980	37	0
0.011040	229	1
0.011160	183	0
0.011280	246	0
0.011340	257	1
0.011340	843	1
0.011460	606	1
0.011520	234	0
0.011580	173	1
0.011820	61	0
0.011880	55	1
0.011880	696	1
0.011880	730	1
0.012240	170	0
0.012360	83	1
0.012360	131	0
0.012480	408	1
0.012480	125	0
0.012600	438	1
0.013020	9	0
0.013080	244	0
0.013200	776	1
0.013200	845	1
0.013320	95	0
0.013320	144	0
0.013380	362	1
